,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Esqueça-Me Se For Capaz","Marília Mendonça",1179644,https://open.spotify.com/track/4qsOrxBv09HhNSpsgMRXdC
2,"Todo Mundo Menos Você","Marília Mendonça",1034362,https://open.spotify.com/track/053zWWZDziDJd3U94x8RuP
3,Presepada,"Marília Mendonça",923978,https://open.spotify.com/track/3YvE7uo4ffseBoJPh8IhHp
4,Ameaça,"Paulo Pires",907734,https://open.spotify.com/track/4fSHADbZbhpZCT9oJpxwbP
5,"Arranhão - Ao Vivo","Henrique & Juliano",890196,https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw
6,GALOPA,"PEDRO SAMPAIO",889932,https://open.spotify.com/track/2wG1R0uDFwyobcWzVssC1J
7,"Vai Lá Em Casa Hoje","George Henrique & Rodrigo",857734,https://open.spotify.com/track/1c4htMHiolERc0YJvZNdlc
8,"Coração Cachorro","Avine Vinny",844599,https://open.spotify.com/track/2RGIuYTsyyHoOCqW0krvNE
9,"Ela me Falou Que Quer Rave","MC Levin",830027,https://open.spotify.com/track/0JdkDCdrhMOaeXjIZdeBXN
10,"Revoada No Colchão","Zé Felipe",721756,https://open.spotify.com/track/4kGdnA7FzSVsXC29LPghej
11,"Por Supuesto","Marina Sena",711907,https://open.spotify.com/track/7xVSNhAUQhUIpwfR6lTOwA
12,"Toma Toma Vapo Vapo","Zé Felipe",639950,https://open.spotify.com/track/5VTjBl3ddZEiG2LrH4VzyR
13,"Ela e Ela","Zé Neto & Cristiano",622892,https://open.spotify.com/track/7pvrsbBKUQI2QmA74WCJa5
14,"A Maior Saudade - Ao Vivo","Henrique & Juliano",594982,https://open.spotify.com/track/5Q0ZnQjk4lQpScX7ujswun
15,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)","DJ Patrick Muniz",591799,https://open.spotify.com/track/0DsPj89zlY3Us7xb5cXK5h
16,"Nota de Repúdio - Ao Vivo","Gusttavo Lima",575292,https://open.spotify.com/track/3agFBAMPiIvzfTh7a9Udm6
17,"Bala Love","Mc Anjim",564148,https://open.spotify.com/track/48Ll1C6qAnP2UjnopQDh4a
18,Putariazinha,"Felipe Amorim",548916,https://open.spotify.com/track/2jwrYBGz7osKI31v50bS7b
19,"Motel Afrodite","Marília Mendonça",518801,https://open.spotify.com/track/6WxpU2F5gwTzwYsAalI6nI
20,"Meu Pedaço de Pecado","João Gomes",484310,https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6
21,"Sem Sentimento","DG e Batidão Stronda",484055,https://open.spotify.com/track/4XiFqfUXyTwOChvMLKKi0T
22,"Não Sei o Que Lá","Marília Mendonça",470745,https://open.spotify.com/track/28m65cMH7QXHzFnZSTtNHY
23,"Quer Voar",Matuê,467010,https://open.spotify.com/track/7aZusA4cWXz3Wv9e9uhavz
24,"Não Me Arranha - Ao Vivo","Gusttavo Lima",460636,https://open.spotify.com/track/3eq6zwPwN5SAw0rZxNHI22
25,"Expectativa x Realidade","Matheus & Kauan",459898,https://open.spotify.com/track/1wdhj1r7aeWVDUl9d18YKu
26,"Você Beberia Ou Não Beberia?","Zé Neto & Cristiano",457763,https://open.spotify.com/track/2ixi9HWJw5lnLDmRMsiCS5
27,"A QUEDA","Gloria Groove",445686,https://open.spotify.com/track/2s9BO8c0co0PmgBiUoTT17
28,"Baby Me Atende","Matheus Fernandes",445146,https://open.spotify.com/track/1bWBG6IkMnDr3qvCKSvQT7
29,"Cê Tá Preparada - Ao Vivo",Tayrone,435969,https://open.spotify.com/track/1tYJnXtKLoWVIL4lZOouQG
30,"Bota a Mão no Chão","Felipe Cardoso DJ",432238,https://open.spotify.com/track/3Lw41pfko5XMrsHRtlbo2k
31,"Carinha de Neném",Japãozin,421676,https://open.spotify.com/track/6T6SDJszPbuMCBpSm3aS3G
32,Envolver,Anitta,421562,https://open.spotify.com/track/3IAfUEeaXRX9s9UdKOJrFI
33,Rolê,"Tarcísio do Acordeon",405979,https://open.spotify.com/track/50gPsfGHy5OnPauA9455DM
34,"Mete a Louca","MC Rogerinho",403098,https://open.spotify.com/track/62d4BfCTUHdOsARRETHLDz
35,"Chega E Senta - Ao Vivo","John Amplificado",386990,https://open.spotify.com/track/2ookQf9qP2qiBuNFnNXyfl
36,"Easy On Me",Adele,385505,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
37,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",371483,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
38,Tiffany,"MD Chefe",371038,https://open.spotify.com/track/0NvVVP3Q0oSbfBUZ48vCHs
39,"Louis V, Menina Linda",Sidoka,370234,https://open.spotify.com/track/2jPACjKR21inTnWeo3eHla
40,MORENA,"Luan Santana",366937,https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd
41,"Troca de Calçada","Marília Mendonça",365524,https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe
42,"Ficha Limpa","Gusttavo Lima",361819,https://open.spotify.com/track/1bK3VvFF9QzfJZDmXSsAqF
43,"Fã Clube","Marília Mendonça",358487,https://open.spotify.com/track/1G0kLIS0hE6uUPlIE9gksp
44,"Senta Danada","Zé Felipe",335324,https://open.spotify.com/track/2R9IrE42Mw4zdUXAEFNiZL
45,"Se For Amor","João Gomes",333579,https://open.spotify.com/track/5F2xRvRFkxDvqdFtUNAEyw
46,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",328798,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
47,"Aquelas Coisas","João Gomes",319378,https://open.spotify.com/track/0FqVtQxRD3HsPltldG5v5M
48,"Localiza Aí BB","Vitor e Luan",315587,https://open.spotify.com/track/6fe5D0ivKnpXFMAnoSRjah
49,"Eu Fiz o Jogo Virar","Mc Poze do Rodo",313469,https://open.spotify.com/track/53BkPZwlaLbW77uV9BnJkl
50,"Oh My God",Adele,304067,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
51,"Desbloqueado - Ao Vivo","Diego & Victor Hugo",298023,https://open.spotify.com/track/79Wou8NwYEFzTyDQudjENF
52,"Não Nasceu pra Namorar","MC Zaquin",294144,https://open.spotify.com/track/6pQKUKBpwr6GhfhcFFFozo
53,"Acordo - Ao Vivo","Henrique & Juliano",293328,https://open.spotify.com/track/2jb8HW2CXr4mOJaw7LJyVw
54,"Namorando Com Saudade","Jorge & Mateus",281101,https://open.spotify.com/track/6m84TzSTM5nbwZxIxkYHz6
55,"Parada Louca","Mari Fernandez",278694,https://open.spotify.com/track/72g37RoelSnovZakG5MwnF
56,"Quebrando Protocolo - Ao Vivo","Gusttavo Lima",273300,https://open.spotify.com/track/0RoVmAeG1dC9U34S6RCCIB
57,Groupies,Doode,272869,https://open.spotify.com/track/3ua3rqwBNmeGeQfcKnA3bT
58,"Oi Deus","Hugo & Guilherme",260396,https://open.spotify.com/track/6JIIejoN31NIn6BJsVS3cu
59,"Rasteira - Ao Vivo","Henrique & Juliano",254624,https://open.spotify.com/track/685gjMmRjwLFrtCWtF2sXo
60,"Graveto - Ao Vivo","Marília Mendonça",251986,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
61,Vagabundo,"Matheus & Kauan",248435,https://open.spotify.com/track/6Lrzxd7ST5oQ6FYKXKH7Ia
62,"Água Nos Zói - Ao Vivo","Clayton & Romário",248277,https://open.spotify.com/track/77rIMl1WIrLf4ZDKFYZ4ji
63,"Vestido Coladinho","Max e Luan",248120,https://open.spotify.com/track/1d7AtPeraWVsvI4U1YTHt1
