,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Easy On Me",Adele,451265,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2,"Oh My God",Adele,323470,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
3,"Strangers By Nature",Adele,271176,https://open.spotify.com/track/13CVSGLSFl4UxpDVR6u3dq
4,"My Little Love",Adele,257817,https://open.spotify.com/track/2DuPBbS5mIldXnh7Wum8Cy
5,"Can I Get It",Adele,254384,https://open.spotify.com/track/6w8ZPYdnGajyfPddTWdthN
6,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",241730,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
7,"I Drink Wine",Adele,236027,https://open.spotify.com/track/6v0UJD4a2FtleHeSYVX02A
8,"Cry Your Heart Out",Adele,226410,https://open.spotify.com/track/09u787BYeYIGd2mFIJ505t
9,"To Be Loved",Adele,205272,https://open.spotify.com/track/10ImcQk9tihY1EKMDIbvXJ
10,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",187770,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
11,"All Night Parking (with Erroll Garner) Interlude",Adele,185652,https://open.spotify.com/track/496vIKS2INz840xZaKncvR
12,"Woman Like Me",Adele,183043,https://open.spotify.com/track/2c6xRsQBv7pynuhYhWoHxo
13,"STAY (with Justin Bieber)","The Kid LAROI",180898,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
14,"Hold On",Adele,180464,https://open.spotify.com/track/6bGMSP3H9YqkmaLnaJTIoF
15,"Cold Heart - PNAU Remix","Elton John",168568,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
16,"Heat Waves","Glass Animals",165261,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
17,Shivers,"Ed Sheeran",157808,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
18,"Love Is A Game",Adele,153868,https://open.spotify.com/track/2j3GxEsbNYNeEzz86wDY4J
19,"One Right Now (with The Weeknd)","Post Malone",140319,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
20,"Smokin Out The Window","Bruno Mars",138930,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
21,"Bad Habits","Ed Sheeran",135961,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
22,"Already Dead","Juice WRLD",112957,https://open.spotify.com/track/7qM1BWAsZMTYh4BcYLb0uQ
23,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,111734,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
24,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,101127,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
25,"Way 2 Sexy (with Future & Young Thug)",Drake,100722,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
26,"THATS WHAT I WANT","Lil Nas X",99711,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
27,"All I Want for Christmas Is You","Mariah Carey",99403,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
28,"edamame (feat. Rich Brian)",bbno$,94639,https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63
29,"Bad Man (Smooth Criminal)","Polo G",94026,https://open.spotify.com/track/6RfhBNU1FPWTG7VESlfgOl
30,Beggin',Måneskin,93990,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
31,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",87750,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
32,"good 4 u","Olivia Rodrigo",87547,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
33,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",87038,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
34,"Kiss Me More (feat. SZA)","Doja Cat",84648,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
35,Ghost,"Justin Bieber",84638,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
36,"All Too Well (Taylor's Version)","Taylor Swift",83897,https://open.spotify.com/track/3nsfB1vus2qaloUdcBZvDu
37,"love nwantiti (ah ah ah)",CKay,83285,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
38,"Meet Me At Our Spot","THE ANXIETY",83222,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
39,"Red (Taylor's Version)","Taylor Swift",82583,https://open.spotify.com/track/4OAuvHryIVv4kMDNSLuPt6
40,"Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)","Taylor Swift",82075,https://open.spotify.com/track/01K4zKU104LyJ8gMb7227B
41,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,80651,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
42,"feel like shit","Tate McRae",80516,https://open.spotify.com/track/2EBnvom1dTybtm75a3Xh1T
43,"I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)","Taylor Swift",80439,https://open.spotify.com/track/4CkgMiMqZ5JzW9iYXSTMTL
44,Enchanted,"Taylor Swift",79026,https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5
45,2055,"Sleepy Hallow",77412,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
46,Woman,"Doja Cat",77134,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
47,"MONTERO (Call Me By Your Name)","Lil Nas X",77099,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
48,"It's Beginning to Look a Lot like Christmas","Michael Bublé",76935,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
49,"Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)","Taylor Swift",76321,https://open.spotify.com/track/4IQkfUsrwXol38VV3U7t7T
50,abcdefu,GAYLE,75979,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
51,"Rockin' Around The Christmas Tree","Brenda Lee",75804,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
52,"Jingle Bell Rock","Bobby Helms",75187,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
53,"Fair Trade (with Travis Scott)",Drake,73770,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
54,"Need to Know","Doja Cat",71388,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
55,"Where Are You Now","Lost Frequencies",70841,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
56,"Do It To It",ACRAZE,70218,https://open.spotify.com/track/20on25jryn53hWghthWWW3
57,"ESCAPE PLAN","Travis Scott",69907,https://open.spotify.com/track/4R67rQNSbbsR4TdUVOIdez
58,"Praise God","Kanye West",67739,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
59,Pepas,Farruko,65145,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
60,"Last Christmas",Wham!,65036,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
61,MONEY,LISA,64992,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
62,"Happier Than Ever","Billie Eilish",62287,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
63,"It's the Most Wonderful Time of the Year","Andy Williams",62256,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
64,"Bite Me","Avril Lavigne",62178,https://open.spotify.com/track/4bNa2MHnPB7zckROAHh8mR
65,"Levitating (feat. DaBaby)","Dua Lipa",61688,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
66,"family ties (with Kendrick Lamar)","Baby Keem",61676,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
67,"When We Were Young",Adele,59496,https://open.spotify.com/track/6O5TrlFWTYvznd9fMC0VvU
68,"Fancy Like","Walker Hayes",59334,https://open.spotify.com/track/0lnpnsrVaW9elGgRxpDCgE
69,"Blinding Lights","The Weeknd",59109,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
70,"My Universe",Coldplay,58744,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
71,"Santa Tell Me","Ariana Grande",58388,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
72,Toxic,BoyWithUke,58289,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
73,"The Christmas Song (Merry Christmas To You)","Nat King Cole",58187,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
74,"I Knew You Were Trouble (Taylor's Version)","Taylor Swift",58155,https://open.spotify.com/track/6AtZLIzUINvExIUy4QhdjP
75,"Leave The Door Open","Bruno Mars",58148,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
76,"You Right","Doja Cat",57818,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
77,traitor,"Olivia Rodrigo",57770,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
78,"Message In A Bottle (Taylor's Version) (From The Vault)","Taylor Swift",56682,https://open.spotify.com/track/3z6XUommYDWPHeFhmhhT6j
79,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,56217,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
80,RAPSTAR,"Polo G",55889,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
81,"State Of Grace (Taylor's Version)","Taylor Swift",55887,https://open.spotify.com/track/6lzc0Al0zfZOIFsFvBS1ki
82,Mistletoe,"Justin Bieber",55213,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
83,Sky,"Playboi Carti",54932,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
