,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ein Jahr (feat. Montez)","Capital Bra",724513,https://open.spotify.com/track/1umWYzhtxWxlVvnvfWLbT4
2,NDA's,"Shirin David",619996,https://open.spotify.com/track/4mIWLMi5SAeX6FhnlaOj1y
3,"Mit Dir",Sido,526354,https://open.spotify.com/track/2xFMvrqk99biaLQavjufta
4,"Do It To It",ACRAZE,474002,https://open.spotify.com/track/20on25jryn53hWghthWWW3
5,Violett,Jamule,446434,https://open.spotify.com/track/6tTHWYH8frkyqwAvGjGvXS
6,"Easy On Me",Adele,445410,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
7,"Ghetto Gemälde",Anonym,408899,https://open.spotify.com/track/6TzjSTZpVkYuPKsBF4qg9u
8,"DER LETZTE SONG (ALLES WIRD GUT) (feat. Fred Rabe)",KUMMER,395141,https://open.spotify.com/track/2FQRZLR31e3423Nmrgv0Pv
9,"Babsi Bars","Shirin David",392589,https://open.spotify.com/track/6JOAAQNp721ZTe48yoX42A
10,Shivers,"Ed Sheeran",383680,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
11,"Heat Waves","Glass Animals",370384,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
12,"paris freestyle - skrilla remix",Pashanim,364343,https://open.spotify.com/track/6fuO9uk9wbjCHvQJqk2Qpx
13,"Schlechtes Vorbild","Shirin David",362608,https://open.spotify.com/track/3y8BOdCyXS6xlJq75lBDKw
14,"Giftgrünes B",Bushido,360934,https://open.spotify.com/track/4FfPoqItp66sK2GL3GxNCl
15,HIGH,Hava,349366,https://open.spotify.com/track/2PDM9Byxz5crB2IXuh2Oal
16,"Where Are You Now","Lost Frequencies",347964,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
17,"Last Bitch Standing","Shirin David",345170,https://open.spotify.com/track/6UW29eoqpZkUUIC5ASpv8r
18,"Man's World","Shirin David",337203,https://open.spotify.com/track/6qbuTJchJw2MeEAvjWAhNj
19,"Be a Hoe/Break a Hoe","Shirin David",326703,https://open.spotify.com/track/0AbWRjGhzZDlWEoUs4VOUQ
20,"Depressionen im Paradies","Shirin David",325130,https://open.spotify.com/track/6QsKfqbZoy4dtW5aD0A2qd
21,"Heute nicht","Shirin David",324759,https://open.spotify.com/track/37rw7EFWvprUtLaX71Sm5E
22,"Cold Heart - PNAU Remix","Elton John",321988,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
23,B.I.B.O.,Dardan,321588,https://open.spotify.com/track/5F3sqL2deoeV2kr8Vn9H4V
24,Pepas,Farruko,321546,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
25,"STAY (with Justin Bieber)","The Kid LAROI",316664,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
26,"Dior Sauvage","Shirin David",313623,https://open.spotify.com/track/7I4bIflVBgszHHluR0x6ji
27,abcdefu,GAYLE,311566,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
28,"Bitches brauchen Rap","Shirin David",309837,https://open.spotify.com/track/6clMAqSgEWpcFgNlr0nxOh
29,"Oh My God",Adele,302040,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
30,"Bramfeld Storys","Shirin David",295469,https://open.spotify.com/track/2gPl0OSKeA4HrFnI07Ehmz
31,"Juicy Money","Shirin David",291709,https://open.spotify.com/track/5BfRL84y1LtmACz4UreC0S
32,"Auf & Ab",Montez,279509,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
33,Bae,"Shirin David",257468,https://open.spotify.com/track/1zqZcPZmQNxXBM7l9vfmnK
34,Lautlos,"Mario Novembre",257187,https://open.spotify.com/track/3wyLJfkbukEpP3oMp6Typx
35,"Lieben wir","Shirin David",255850,https://open.spotify.com/track/6Bupao0tigbVrHoTiZdQG2
36,"Ich darf das","Shirin David",255847,https://open.spotify.com/track/0i239e7IfbcMy4xx3FGMNz
37,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",253719,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
38,"Bad Habits","Ed Sheeran",236654,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
39,"Blaues Licht","RAF Camora",229541,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
40,Bébé,Kurdo,228516,https://open.spotify.com/track/4EfMiJoLoROnDkm2beZJBN
41,Toxic,BoyWithUke,226351,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
42,Narben,Monet192,219114,https://open.spotify.com/track/20fUNoEcL6njzvpQq8JwAt
43,Späti,Gzuz,218013,https://open.spotify.com/track/1S4Ehm8b7O4n9lIy3uAMS1
44,10von10,Pajel,213001,https://open.spotify.com/track/1sa59Q9urE82MD3ELi44HN
45,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",212986,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
46,"BLEIB' ÜBER NACHT (feat. Luciano)",KALIM,210412,https://open.spotify.com/track/6jnR8dYSsKNqj1lVVFT5R0
47,"Can I Get It",Adele,204197,https://open.spotify.com/track/6w8ZPYdnGajyfPddTWdthN
48,"Strangers By Nature",Adele,200223,https://open.spotify.com/track/13CVSGLSFl4UxpDVR6u3dq
49,Acapulco,"Jason Derulo",196017,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
50,"DU KENNST DIE BABOS",VOLO,194820,https://open.spotify.com/track/2QZKWyjIJvgVdsfeqagqoI
51,"Belgisches Viertel",ART,194335,https://open.spotify.com/track/1h3d2lvISrSIV6fS89U51S
52,"Already Dead","Juice WRLD",192912,https://open.spotify.com/track/7qM1BWAsZMTYh4BcYLb0uQ
53,"My Little Love",Adele,186333,https://open.spotify.com/track/2DuPBbS5mIldXnh7Wum8Cy
