,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Keify Keda",Wegz,25544,https://open.spotify.com/track/3yWSjxKQMpa7hXcmVElZgX
2,Etnaset,"Muslim - مُسلِم",24763,https://open.spotify.com/track/5hiQSNo6jQbQ2m2gBZs7bU
3,"FAR2 KHEBRA",Afroto,18914,https://open.spotify.com/track/53BjuhvFCmv5T0VRhKuNrb
4,SIRI,Shahyn,13068,https://open.spotify.com/track/1w8I30qzVlqUgkp0P9bXh1
5,"عفاريت الأسفلت",Wegz,12922,https://open.spotify.com/track/4uNc5GMR6a5az5U3Ghdyf8
6,عرفة,Lege-Cy,11323,https://open.spotify.com/track/7cCBsINflnE3PKyvcN3bzX
7,"Easy On Me",Adele,8302,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
8,HUSTLE,"Marwan Moussa",8226,https://open.spotify.com/track/3Ya32EkNaAQL8VDbvsfTup
9,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",8176,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
10,"Msh Bel 7ozoz - مش بالحظوظ",Afroto,8013,https://open.spotify.com/track/4K2VD5qMwcjIsLFYtrrQDz
11,Mamlaka,Abyusif,7850,https://open.spotify.com/track/56e1uYjeT4Ju4F44ZKM9ra
12,"أسياد الصوت",Wegz,7625,https://open.spotify.com/track/42nkGZLFa7PF2Hut7f7sxk
13,"خطر (ياللي سيرتي تعباك)","Hoda Bondok",7538,https://open.spotify.com/track/1C6pNXiVfcKO49JttTv0xJ
14,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",7387,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
15,"Inta El Haz","Amr Diab",7049,https://open.spotify.com/track/0647xnQGtzAulUlJC8s4r4
16,"El Melouk - الملوك","Ahmed Saad",6933,https://open.spotify.com/track/04vHPXVGnb51q13NBoW22W
17,Tesla,"Marwan Moussa",6910,https://open.spotify.com/track/0htvkHTlXpui40I957NFUt
18,Samurai,Cairokee,6751,https://open.spotify.com/track/7dTgSeAVu9EWJusdCsRyTo
19,"3la 3eny","Ahmed Kamel",6513,https://open.spotify.com/track/5Aun0pJOQFBQozav1hPpM1
20,"RAKAM 1 DA MESH ENTA","El Joker",6420,https://open.spotify.com/track/79TzqzCK34xg5R3p1uTcAu
21,"El 3aw - العو","Double Zuksh",6010,https://open.spotify.com/track/3yCO77szbEBiah3kTM70QM
22,"واحد وعشرين",Wegz,5900,https://open.spotify.com/track/7pBr36brGBNxCk3JahhyHb
23,MONEY,LISA,5840,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
24,"STAY (with Justin Bieber)","The Kid LAROI",5749,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
25,مسيطره,"Lamis Kan",5534,https://open.spotify.com/track/4hFNqLwpBM1WoaxrgEForT
26,"خد و هات",Wegz,5499,https://open.spotify.com/track/1AfioCIHFE3Ny3kTBppiP9
27,Awadeeh,"Abo El Anwar",5486,https://open.spotify.com/track/6X3T09NqZfGACrko9EYN7r
28,Free,"Marwan Pablo",5362,https://open.spotify.com/track/6vRHVF61iN8TnMdoFBoE8f
29,"love nwantiti (ah ah ah)",CKay,5312,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
30,Ghaba,"Marwan Pablo",5153,https://open.spotify.com/track/4Zpg4neFtdTJJF4wsrTJRa
31,"البوصلة ضاعت","Marwan Moussa",5056,https://open.spotify.com/track/3OFejsaM3NDkclJg3rjWI2
32,"Oh My God",Adele,4971,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
33,"صاحبي من غبائه","Mody Amin",4894,https://open.spotify.com/track/3RLpfYSIQlW1YI6bIexpUy
34,CTRL,"Marwan Pablo",4886,https://open.spotify.com/track/2lj1RNDztkIsyzhAX2soEa
35,Habibty,"Hassan Shakosh",4810,https://open.spotify.com/track/4gyUv9zQnSbqhA5uqqgZQz
36,"Gaw El Banat","Mohamed Ramadan",4662,https://open.spotify.com/track/3x99yBuNKv4WwPU7EDqcUH
37,Sindbad,"Marwan Pablo",4582,https://open.spotify.com/track/5xDaIms5HB1DTj5keH6sJc
38,Denamet,Molotof,4549,https://open.spotify.com/track/3NCZRSMdqwo5jpRdgcZxEV
39,سكرتي,Wegz,4535,https://open.spotify.com/track/3pY3PPvp77FNQq01n4UrS1
40,"يا سبايسي (سجلتك على التليفون هارتي)","Seif Magdy",4523,https://open.spotify.com/track/5RmuMcCHkMTkos8SdnRohq
41,Toxic,BoyWithUke,4487,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
42,"Mmmm Mmmm","Abo El Anwar",4398,https://open.spotify.com/track/0CrwfTdEIv2IhDuDjYAz5D
43,شيراتون,"Marwan Moussa",4387,https://open.spotify.com/track/3S2aU4rUZXbVOxyVzgzXQ5
44,Ray'a,"Amr Diab",4319,https://open.spotify.com/track/5OqP6CKUFRyoeVQnOU37ds
45,"دورك جي",Wegz,4114,https://open.spotify.com/track/56nsR8Td7CWVCQIGjznu4L
46,Sogara,Afroto,4003,https://open.spotify.com/track/3C6zfNQAGVjYFXaYg7xLTY
47,"TOTLOB AMA TOTLOB","El Joker",4001,https://open.spotify.com/track/48Tb5rkF6XzPuHFtVem5lS
48,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,3995,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
49,Arosty,Sharmoofers,3989,https://open.spotify.com/track/2IEWP8OvgxXZcpx7h2rFF4
50,"Strangers By Nature",Adele,3975,https://open.spotify.com/track/13CVSGLSFl4UxpDVR6u3dq
51,"وسط دموع وجراح","Essam Saasa",3971,https://open.spotify.com/track/3FdV0iO6fskyPeYnrMsKPM
52,منافقين,"DJ Totti",3957,https://open.spotify.com/track/4seQ4caYcDPtkxykPlASYl
53,Law,"Mohammed Saeed",3943,https://open.spotify.com/track/6rB04mNPv6GJno2tabfyka
54,تاني,Lege-Cy,3924,https://open.spotify.com/track/5MYvIwOpXVzWToptTJbZR4
