,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"LA FAMA (with The Weeknd)",ROSALÍA,522793,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
2,Ateo,"C. Tangana",414515,https://open.spotify.com/track/5xiAfKzE3mbxYbOkUZPR11
3,Experimento,"Myke Towers",373337,https://open.spotify.com/track/6c32C8T3KlXrbvWSoD5aON
4,"Mon Amour - Remix",zzoilo,368881,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
5,"Una Vaina Loca",Fuego,359573,https://open.spotify.com/track/2qEoAz0i6yEz5dPggABcLH
6,"Salimo de Noche","Tiago PZK",353595,https://open.spotify.com/track/6P096SaOzrgGxs8NWOfX7M
7,Nostálgico,Rvssian,333660,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
8,"Anuel AA: Bzrp Music Sessions, Vol. 46",Bizarrap,317594,https://open.spotify.com/track/1mrGEef8GuaEnDdw8J5BQp
9,"Ley Seca","Jhay Cortez",313737,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
10,"Dile (Homenaje)","Jhay Cortez",301095,https://open.spotify.com/track/073yIM7v2j6XadD4Nkn0Fh
11,"Tacones Rojos","Sebastian Yatra",291572,https://open.spotify.com/track/0Be7sopyKMv8Y8npsUkax2
12,Cúrame,"Rauw Alejandro",273648,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
13,Súbelo,"Anuel AA",266660,https://open.spotify.com/track/3fHEwAssCgM4wJYdjT5Ch0
14,"Todo De Ti","Rauw Alejandro",252371,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
15,"Ptazeta: Bzrp Music Sessions, Vol. 45",Bizarrap,244895,https://open.spotify.com/track/4axxCbc4tWlpqHP5UbJMc3
16,"El Incomprendido",Farruko,239228,https://open.spotify.com/track/2mL37yB3f3Lfy4iiXV02Qf
17,"Volando - Remix",Mora,224134,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
18,Pepas,Farruko,218861,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
19,Dictadura,"Anuel AA",212970,https://open.spotify.com/track/4yoc5cUWk4OFvqOcvFvw0o
20,"Cuando Ella Sale",Morad,210220,https://open.spotify.com/track/0bxzF2Kyql0pQ58Mymztue
21,Yonaguni,"Bad Bunny",209622,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
22,"FEEL ME??",Trueno,208715,https://open.spotify.com/track/4kELKaXaNP4EQR8Q8xNIID
23,"Habla Claro","Eladio Carrion",208403,https://open.spotify.com/track/1Ixi7vcTIvgyeFlbqy1QQ7
24,"Colorín Colorado","Justin Quiles",205600,https://open.spotify.com/track/2YZDh5CecWx0qlFiTvqVQ9
25,Volví,Aventura,204991,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
26,Loco,"Justin Quiles",198258,https://open.spotify.com/track/6b2HYgqcK9mvktt4GxAu72
27,"DANCE CRIP",Trueno,195739,https://open.spotify.com/track/1kjs5eR4DMzyB0gm1Z8waV
28,"Easy On Me",Adele,194327,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
29,Índigo,Camilo,192889,https://open.spotify.com/track/4knc1Fp3kbuq8bH2byOvLu
30,INMORTALES,"Funzo & Baby Loud",189225,https://open.spotify.com/track/4nVuhPrmtIO1m2hRrtxBlI
31,"La Historia","El Taiger",177673,https://open.spotify.com/track/20RGQHWvqyyacpuxMBeLsZ
32,120,"Bad Bunny",175886,https://open.spotify.com/track/3KJ3opyV29269SXkPrc19l
33,Unfollow,Duki,174776,https://open.spotify.com/track/6GsD646HrIDJJpzoY9T1Rt
34,"Tiroteo - Remix","Marc Seguí",172654,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
35,"Combo la L","Beny Jr",168707,https://open.spotify.com/track/07hvsxeAYfZFgiLiBos6Pz
36,Sabe,"Nicki Nicole",165065,https://open.spotify.com/track/0XYZhJIcwKNjd0tjbSXwaQ
37,"La Old Skul","Rauw Alejandro",163227,https://open.spotify.com/track/6MEBxXI2n3FzPHrGRYFdL8
38,"Búscate Otro","Atomic Otro Way",152398,https://open.spotify.com/track/5nZ7DPFgkSueMjpaVZf3wz
39,"ALMAS GEMELAS","Myke Towers",151575,https://open.spotify.com/track/2KcNrONbZ0hvBPjvrDO2tx
40,"Sexo Virtual","Rauw Alejandro",149274,https://open.spotify.com/track/0giiXonRhODYy4J1iy4Lb3
41,Libertad,"Nil Moliner",146345,https://open.spotify.com/track/1kG7gfH4HDUlDht0VZYkiP
42,"La Botella","Justin Quiles",144887,https://open.spotify.com/track/6GPBXtnSepHovJi1uD1Ggj
43,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,144713,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
44,"Cold Heart - PNAU Remix","Elton John",143560,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
45,"Pareja Del Año","Sebastian Yatra",142832,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
46,"Qué Más Pues?","J Balvin",141812,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
47,"Diablita Remix",Fabbio,140663,https://open.spotify.com/track/1CMPYloogotoC6z9n9wdQT
48,Veneno,Delaossa,138794,https://open.spotify.com/track/5AQTFpm3oDPTenmw5Lmfoi
49,Ella,"El Bobe",135365,https://open.spotify.com/track/5lFSvyRAeG0asgqBuM5MQW
50,"Beba Qué Quieres Que Haga","Omar Montes",134697,https://open.spotify.com/track/49iOVtExuJU9faigS2JRUf
51,"STAY (with Justin Bieber)","The Kid LAROI",133575,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
52,Leyenda,"Anuel AA",125610,https://open.spotify.com/track/0eNe9tTxrXzyoX3DSeJEDN
53,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",122382,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
54,"Oh My God",Adele,122232,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
55,Ingobernable,"C. Tangana",118875,https://open.spotify.com/track/3SK45LddxlEkzI8OWO9Eyo
56,"Tú Me Dejaste De Querer","C. Tangana",112693,https://open.spotify.com/track/5ddFjrPG8NgQQ6xlOQIVd2
57,Miénteme,TINI,107569,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
58,"Flamenco y Bachata","Daviles de Novelda",105741,https://open.spotify.com/track/6ynErSDSlxqsxg0D3LJ8sK
59,"Oh Na Na","Camila Cabello",105160,https://open.spotify.com/track/03NqHNdG3Ur6kciQWK6e8V
60,Berlín,Aitana,103767,https://open.spotify.com/track/5N5GaRpXYZl5ZKKU5a5LtH
61,"Se Menea","Don Omar",103530,https://open.spotify.com/track/1ZcrHpBbILPNfhBtPhQVHh
62,DÁKITI,"Bad Bunny",100859,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
63,"Juramento eterno de sal","Álvaro De Luna",99676,https://open.spotify.com/track/23E53f3C9SJ9MqBh1f6hEw
64,Soñar,Morad,99196,https://open.spotify.com/track/3lI1sZnyM1Ju3ApgNo0ITT
