,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Easy On Me",Adele,55350,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2,"Samma gamla vanliga - Remix",Cledos,54560,https://open.spotify.com/track/3EfMGeYXw69Saa14torWpK
3,"Oh My God",Adele,45642,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
4,"Vauhti kiihtyy (feat. Matti ja Teppo)","Portion Boys",41319,https://open.spotify.com/track/4N84bVnNycTXiuoKZFEXrD
5,"Parempaa (feat. JVG & william)",MD$,40635,https://open.spotify.com/track/7jBuT0vzeaCtRetMczX4EM
6,Shivers,"Ed Sheeran",37467,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
7,Munatoti,"Teflon Brothers",36057,https://open.spotify.com/track/6rQIoiIXrECnSfQj9MNDQ4
8,Hyväuskoinen,VIIVI,36024,https://open.spotify.com/track/08EMclZsu3ZwuQxlVcsAXI
9,abcdefu,GAYLE,32503,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
10,"Can I Get It",Adele,32414,https://open.spotify.com/track/6w8ZPYdnGajyfPddTWdthN
11,"STAY (with Justin Bieber)","The Kid LAROI",31961,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
12,"Heat Waves","Glass Animals",31301,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
13,"edamame (feat. Rich Brian)",bbno$,31094,https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63
14,"Bad Habits","Ed Sheeran",29550,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
15,"Strangers By Nature",Adele,28567,https://open.spotify.com/track/13CVSGLSFl4UxpDVR6u3dq
16,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",27460,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
17,"I Drink Wine",Adele,27292,https://open.spotify.com/track/6v0UJD4a2FtleHeSYVX02A
18,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",27166,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
19,"My Little Love",Adele,26495,https://open.spotify.com/track/2DuPBbS5mIldXnh7Wum8Cy
20,"Ei riidellä enää - Vain elämää kausi 12",Pyhimys,26113,https://open.spotify.com/track/21i0KbDM4L8y58hpEqMaKa
21,Reiviluola,"Haloo Helsinki!",26006,https://open.spotify.com/track/1RCQAeceDgtbD7WVLWr05S
22,"Matkustaja (feat. Aksel Kankaanranta)",AHTI,25214,https://open.spotify.com/track/357JgDad80qVDg23D2GI63
23,"Cold Heart - PNAU Remix","Elton John",24719,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
24,"Where Are You Now","Lost Frequencies",23600,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
25,"Cry Your Heart Out",Adele,23182,https://open.spotify.com/track/09u787BYeYIGd2mFIJ505t
26,"Never Going Home",Kungs,22758,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
27,"One Right Now (with The Weeknd)","Post Malone",22061,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
28,"Levoton tyttö (feat. Evelina, Nelli Matula) [Vain elämää kausi 12]",ABREU,22026,https://open.spotify.com/track/10hfvDwUbuG9lEakB3SChD
29,"THATS WHAT I WANT","Lil Nas X",21415,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
30,"The Motto",Tiësto,21307,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
31,Tulikärpäset,"Haloo Helsinki!",20921,https://open.spotify.com/track/34an0cwgyJ0oRTjQMNmbIw
32,Ämmä,Etta,20627,https://open.spotify.com/track/4rQuuWoR8HNJMQNoxd6ZKn
33,"ISI MAKSAA",Räpfaija,20140,https://open.spotify.com/track/0MtR1vbS7UeJa0jvXGCwmY
34,"Kankaanpään tori (feat. Mira Luoti) [Vain elämää kausi 12]","Arttu Wiskari",20030,https://open.spotify.com/track/3RGfeMtWWEs1sJI2NWY1BV
35,Beggin',Måneskin,19804,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
36,Toxic,BoyWithUke,19796,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
37,USA,VIIVI,19619,https://open.spotify.com/track/4oq88Qn7UdpiSjiL2E23dM
38,"Huuliharppu (Antonio) [Vain elämää kausi 12]",ABREU,19534,https://open.spotify.com/track/5HBo7k1XiCzJ7RY9LcZWkD
39,"Woman Like Me",Adele,19116,https://open.spotify.com/track/2c6xRsQBv7pynuhYhWoHxo
40,"All Night Parking (with Erroll Garner) Interlude",Adele,18446,https://open.spotify.com/track/496vIKS2INz840xZaKncvR
41,Kesken,SANNI,18402,https://open.spotify.com/track/1rv6MexjciSFCGVbLNxrHh
42,"To Be Loved",Adele,18364,https://open.spotify.com/track/10ImcQk9tihY1EKMDIbvXJ
43,"Hold On",Adele,17833,https://open.spotify.com/track/6bGMSP3H9YqkmaLnaJTIoF
44,"Pikkujoulut kiihtyy (feat. Matti ja Teppo)","Portion Boys",17432,https://open.spotify.com/track/3I834StIvzsmRQGpWM3dbj
45,Pohjola,"Olli Halonen",16772,https://open.spotify.com/track/6YFcvJlcgQceRfJrVpmJa0
46,"Me ei kuuluta toisillemme",Evelina,16543,https://open.spotify.com/track/3shxBrLJZiTP9OhJzK0iCr
47,"I WANNA BE YOUR SLAVE",Måneskin,16303,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
48,MONEY,LISA,16157,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
49,"Elämä on hetken ihanaa",costee,15603,https://open.spotify.com/track/2n3LoirUs3PrjP3dYmgJQ2
50,"Love Again","Dua Lipa",15594,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
51,"Love Is A Game",Adele,15363,https://open.spotify.com/track/2j3GxEsbNYNeEzz86wDY4J
52,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",15261,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
53,Frida,BEHM,15182,https://open.spotify.com/track/2DnfYBSG1cEcEYieldgp2X
54,Vesper,Ollie,15105,https://open.spotify.com/track/5SaN9QaTUS0kE2QK6HLgVl
55,"GHOST TOWN","Benson Boone",14911,https://open.spotify.com/track/135Lf4Q0CzlMNfOxbEUsLH
56,"Overpass Graffiti","Ed Sheeran",14840,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
57,"Sabotage (Vain elämää kausi 12)",ABREU,14463,https://open.spotify.com/track/4HjdUKo04Rn9faKukJEhyt
58,"Kolmas pyörä (Vain elämää kausi 12)","Arttu Wiskari",13989,https://open.spotify.com/track/3jvzWK02cFFse1SRxwNX5i
59,"Usko toivo rakkaus","Vilma Alina",13906,https://open.spotify.com/track/3BK9rE2G4blj5eycm1CvrF
60,"Already Dead","Juice WRLD",13542,https://open.spotify.com/track/7qM1BWAsZMTYh4BcYLb0uQ
61,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",13536,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
62,"Taivas maan päällä",Ilta,13504,https://open.spotify.com/track/3Fy2xX68usyByATSTstJL1
63,"Happier Than Ever","Billie Eilish",13491,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
64,Sattuu,"Kaija Koo",13152,https://open.spotify.com/track/2W6lJ6yW8zj02BL7QwaG1y
65,"Blinding Lights","The Weeknd",13042,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
66,"We Are No Saints","Blind Channel",12908,https://open.spotify.com/track/3BPdKJxzfJX63N7LYLDpI6
67,"good 4 u","Olivia Rodrigo",12439,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
68,Woman,"Doja Cat",12415,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
69,"Ystävänpäivä (Vain elämää kausi 12)",ABREU,12020,https://open.spotify.com/track/5m59t6QEzY5AJKipDMtoJQ
70,"Hei rakas",BEHM,11951,https://open.spotify.com/track/2XaewhXngZd2Zi4ijFIkK0
71,"Huonoja ideoita","Antti Tuisku",11933,https://open.spotify.com/track/2bfks3jz83TLx3LsX5BTEZ
72,Kyläbaari,"Portion Boys",11885,https://open.spotify.com/track/0QO1QnI4tOXLwtgXQmVqPA
73,"Tuu mua vastaan (Vain elämää kausi 12)","Anssi Kela",11765,https://open.spotify.com/track/6HfW9sQEczoAXbIdDTJpH0
74,Pepas,Farruko,11706,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
75,"Do It To It",ACRAZE,11393,https://open.spotify.com/track/20on25jryn53hWghthWWW3
76,Tatuoitu,Pihlaja,11272,https://open.spotify.com/track/1xTPrhEKfbJaGGs2VIMDd3
77,"Piilotan mun kyyneleet","Haloo Helsinki!",11140,https://open.spotify.com/track/4FMR3LE9lxvhgVLErzNQRc
78,"ZITTI E BUONI",Måneskin,11120,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
79,"Dark Side","Blind Channel",11095,https://open.spotify.com/track/1ovFnZv6mUe0LzAbfVqOmh
80,"Sama poika (Vain elämää kausi 12)","Jukka Poika",10905,https://open.spotify.com/track/41mznSqza0Gz28bZMAj6gA
81,"Elämä on nyt",Titta,10817,https://open.spotify.com/track/14qgbm3jrTC9R5UZ5pRZqz
82,"Samma gamla vanliga",A36,10641,https://open.spotify.com/track/4wGFTaengFG4o6nYZAK1Xg
83,"Most People (with Lukas Graham)",R3HAB,10480,https://open.spotify.com/track/3qGzO7CnDHKRT7KrR2JPFJ
84,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,10451,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
85,"Valitsisin sut","Juha Tapio",10417,https://open.spotify.com/track/5s2fUGB8Cw08rBxlMKm9Ge
86,Matkustaja,Egotrippi,10392,https://open.spotify.com/track/5esJb63Nbi1LeG0v4NyKTt
87,"Penelope (feat. Clever)",william,10328,https://open.spotify.com/track/677ly6xN6EUbIL8FPltKle
88,"Smokin Out The Window","Bruno Mars",10291,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
89,"MONTERO (Call Me By Your Name)","Lil Nas X",10220,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
90,"love nwantiti (ah ah ah)",CKay,10175,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
91,"Terveisin Doris",Mariska,9975,https://open.spotify.com/track/6s5aPRXxLJ6gtdSViCTr3u
92,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",9873,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
93,Acapulco,"Jason Derulo",9871,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
94,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,9842,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
