,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,一表人才,"Edan 呂爵安",45490,https://open.spotify.com/track/6zeblz6qaURo2JphS7XeFz
2,記憶棉,"MC 張天賦",34700,https://open.spotify.com/track/1ZrnCyms7CBYsCvkkVIkt8
3,"Easy On Me",Adele,24439,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
4,反對無效,"MC 張天賦",24292,https://open.spotify.com/track/2P5Eeh29qJrYa1T27cdL3B
5,"STAY (with Justin Bieber)","The Kid LAROI",20789,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
6,"E先生 連環不幸事件","Edan 呂爵安",19074,https://open.spotify.com/track/06sDxr7MbbwFyTP1f6rvvl
7,"係咁先啦 (feat. Kayan9896)","MC $oho & KidNey",18428,https://open.spotify.com/track/4I2nZnEp1JZoHO4RB27VTR
8,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",18309,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
9,小諧星,"Edan 呂爵安",17598,https://open.spotify.com/track/4Pzi0povbtMOuVyGKGNOKu
10,年青有為,"Feng Ze",17394,https://open.spotify.com/track/5dhzpjvwo4tkSuUS7otPoF
11,"Dear My Friend,","Keung To",17133,https://open.spotify.com/track/11IqNbLOD4s4nVYSuEttFR
12,人類群星閃耀時,"Jer 柳應廷",16721,https://open.spotify.com/track/10nbKFoqDjsauhJQTHWfkg
13,"My Apple Pie","Edan 呂爵安",16513,https://open.spotify.com/track/4N3vPjL04eJNzUdGfT4Dfz
14,三個字,"Anson Kong 江𤒹生",15089,https://open.spotify.com/track/524AUGUhR1F8SRiumM4T5e
15,人類不宜飛行,"Dear Jane",14480,https://open.spotify.com/track/2R6LC73jLhgOekUBfTcE23
16,Shivers,"Ed Sheeran",14315,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
17,"Oh My God",Adele,13464,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
18,Megahit,"Anson Lo 盧瀚霆",12464,https://open.spotify.com/track/33bb4ipPqbeTdZLOAix27Z
19,Loser,"MC 張天賦",12334,https://open.spotify.com/track/5MGYY2USzSzFFrJe2Nul7Q
20,"我不是邱比特 - 合唱版","Mike 曾比特",12321,https://open.spotify.com/track/2TPOTSNzJKfVRN39ALLZbw
21,"一人之境 in C major","Terence Lam",12201,https://open.spotify.com/track/32QnXosZq7A11knnBAEqk7
22,"Bad Habits","Ed Sheeran",11968,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
23,難道喜歡處女座,"Terence Lam",11964,https://open.spotify.com/track/0LfPjfqhyyeWk9Pl20hIM5
24,不可愛教主,"Anson Lo 盧瀚霆",11651,https://open.spotify.com/track/7zYZYyaMmfsc7Jp4ZHd6UX
25,跌嘢唔好搵,"MC $oho & KidNey",11271,https://open.spotify.com/track/06bzWBi4FyF85A57GlV4H8
26,我不如,"Mike 曾比特",11262,https://open.spotify.com/track/0uAW2j0sLBHVr3Gs9IGIqf
27,銀河修理員,"Dear Jane",11058,https://open.spotify.com/track/0pupuSkMBGpzsqG3fWcyPe
28,留下來的人,"C AllStar",10932,https://open.spotify.com/track/5Mg4jtsrw6DVRXApAhQm7j
29,玻璃心,Namewee,10863,https://open.spotify.com/track/3HYsldPuR1FSOfxcKjwAvv
30,聖馬力諾之心,"Dear Jane",10712,https://open.spotify.com/track/46v9FzDCZyGELTEsAnnXFf
