,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ドライフラワー,優里,204211,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J
2,ベテルギウス,優里,203353,https://open.spotify.com/track/2sf18cEv463VgqmdjDsFpw
3,水平線,"back number",187390,https://open.spotify.com/track/5m1i6hq7dmRlp3c1utE48L
4,Butter,BTS,174519,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
5,"Cry Baby","Official HIGE DANdism",166229,https://open.spotify.com/track/6wDntdm888mDo458RaYjGl
6,Dynamite,BTS,164325,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
7,"Permission to Dance",BTS,163746,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
8,きらり,"Fujii Kaze",156229,https://open.spotify.com/track/3ciqhcLmXP4hVGBD98QlEj
9,"STAY (with Justin Bieber)","The Kid LAROI",154948,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
10,夜に駆ける,YOASOBI,153214,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB
11,シャッター,優里,151009,https://open.spotify.com/track/6VwpOZpqx8IqoF201VGAp8
12,群青,YOASOBI,145728,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk
13,なんでもないよ、,"Macaroni Empitsu",145268,https://open.spotify.com/track/2PFzK3kMDDYKhGnugvNYf1
14,勿忘,"Awesome City Club",144746,https://open.spotify.com/track/0XZyF9lv6diMt4bxThOL0h
15,ヨワネハキ,MAISONdes,143788,https://open.spotify.com/track/0FOVGBW0RpVRuDuUuN4ZVw
16,怪物,YOASOBI,139715,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi
17,CITRUS,Da-iCE,132716,https://open.spotify.com/track/2IL2asrtx7XM1y8fu2RMnR
18,YOKAZE,"HENTAI SHINSHI CLUB",132500,https://open.spotify.com/track/6tkSMR8bEIfEcJn7ybJtSP
19,"The Feels",TWICE,128561,https://open.spotify.com/track/1qE8DOtw7zdXHMgZm20eLM
20,BOY,"King Gnu",124291,https://open.spotify.com/track/3oQaOjaIYPsnJbGNzXcIID
21,踊,Ado,123232,https://open.spotify.com/track/7z6qHGEKxRtwtYym2epV7l
22,ミライチズ,"Yoru no Hitowarai",122667,https://open.spotify.com/track/3mSqtn05vfpqAMpFTLsxpi
23,三原色,YOASOBI,119502,https://open.spotify.com/track/3FUCuf498nFHJXFYR1V9Bd
24,黄色,"back number",115136,https://open.spotify.com/track/1MwOfRqCALxvx9keUhGCdV
25,"Stand by me, Stand by you.",HIRAIDAI,113940,https://open.spotify.com/track/7DyS11kB1YNrfDzQqtjmTh
26,"My Universe",Coldplay,113104,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
27,魔法の絨毯,"Takaya Kawasaki",110627,https://open.spotify.com/track/3PK5ERLCyMuQ5Cb89GbZVL
28,点描の唄,"Mrs. GREEN APPLE",110192,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV
29,踊り子,Vaundy,106321,https://open.spotify.com/track/4xk70Qur2QeRmWIzWPC63V
30,花占い,Vaundy,105252,https://open.spotify.com/track/4X34YVOtNvldHeEt6aLYDW
31,Pretender,"Official HIGE DANdism",103653,https://open.spotify.com/track/15HNdxGKNCIO9pgaY4n7FU
32,Chopstick,NiziU,103578,https://open.spotify.com/track/0X40DgD7jJr5DeiGXFAfcl
33,かくれんぼ,優里,101434,https://open.spotify.com/track/0JTjZnuciQH4M3620aMDtZ
34,怪盗,"back number",101209,https://open.spotify.com/track/10Eyo4juZQFthKqlJgGMdp
35,もう少しだけ,YOASOBI,100802,https://open.spotify.com/track/2pXmohBUnD5Li93sgpbPSg
36,115万キロのフィルム,"Official HIGE DANdism",100732,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
37,"I LOVE...","Official HIGE DANdism",100026,https://open.spotify.com/track/5wWLNNwMAehpj83FU4Lz0m
38,napori,Vaundy,99847,https://open.spotify.com/track/5Ym4egUmT9wHEvZM2anGG8
39,猫,DISH//,99782,https://open.spotify.com/track/6sIx7Cn37DGEhjy9hBP8Gx
40,虹,"Masaki Suda",99633,https://open.spotify.com/track/7AIj86wFWqm7X1TZ2hzHwS
41,裸の心,Aimyon,96360,https://open.spotify.com/track/4Jv7U0JJpbQnOrjtDwDZTZ
42,"Bluma to Lunch","BLOOM VASE",93994,https://open.spotify.com/track/3EYWY7XBj1BkCKX3R3hoZk
43,炎,LiSA,92938,https://open.spotify.com/track/0cSkn2l67csUljEy0EEBPn
44,ギラギラ,Ado,91173,https://open.spotify.com/track/7D7GCO3CtDT1WDcj2W5VDV
45,ラブレター,YOASOBI,91053,https://open.spotify.com/track/185Wm4Mx09dQG0fUktklDm
46,大正浪漫,YOASOBI,90706,https://open.spotify.com/track/3uw93CiI34uZlfk8ywep1e
47,感電,"Kenshi Yonezu",89630,https://open.spotify.com/track/6H0PLsSYMzDOqhLgyOlzIj
48,うっせぇわ,Ado,88660,https://open.spotify.com/track/6EzZn96uOc9JsVGNRpx06n
49,ハルジオン,YOASOBI,88437,https://open.spotify.com/track/08YwAPnX8sygJUXG9rvhDv
50,春を告げる,yama,87828,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD
51,ハート,Aimyon,82577,https://open.spotify.com/track/6cvKfEw8rDcmXBslqSEC9G
52,アンコール,YOASOBI,76780,https://open.spotify.com/track/465JzFiajJO59sUrDFsxdC
53,ハルカ,YOASOBI,76455,https://open.spotify.com/track/5D9MPWdY2hjSeTIGE5n5kv
54,SCIENTIST,TWICE,71628,https://open.spotify.com/track/2J0TRU2EDG29qlmxdGa4xa
55,常緑,"Chippoke Ohashi",69819,https://open.spotify.com/track/6qn31XzTa6YKXs5FZpAPgP
56,阿修羅ちゃん,Ado,66917,https://open.spotify.com/track/4lEk6fyJu7LLPenqL0Raj5
57,ツキミソウ,Novelbright,65534,https://open.spotify.com/track/6sElEqOIGENWjpxGFeo5ct
58,Mela!,"Ryokuoushoku Shakai",65194,https://open.spotify.com/track/6IO5nn84TKArsi3cjpIqaD
59,シンデレラボーイ,"Saucy Dog",64435,https://open.spotify.com/track/1Vqs0lXeJafYZz2sxnfB3V
60,夜撫でるメノウ,Ayase,62815,https://open.spotify.com/track/6IHWPY5iBUI1AOUclbtE6F
61,明け星,LiSA,58854,https://open.spotify.com/track/3J34JtfZNylVXSKN4TDf12
62,"Walking with you",Novelbright,56419,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd
63,沈丁花,DISH//,55574,https://open.spotify.com/track/79TdseXlAiANFOTstIwejv
64,クリスマスソング,"back number",53927,https://open.spotify.com/track/5P8ZvBQoCrujjNcLAxO3Su
65,不可幸力,Vaundy,53528,https://open.spotify.com/track/18nkY3pJTub8WwEGiQAGh4
66,白日,"King Gnu",53461,https://open.spotify.com/track/172fMG26G2OoEzzg0wn26r
67,ピーターパン,優里,51501,https://open.spotify.com/track/0Ic9yiyHCoRCSvPoqTagat
68,"Curtain Call","Shota Shimizu",51319,https://open.spotify.com/track/3JzAKk0CpUlgzS1mPqzBwk
69,怪獣の花唄,Vaundy,49788,https://open.spotify.com/track/4W29WmnGN1FlufURaBt8yw
70,恋人ごっこ,"Macaroni Empitsu",48661,https://open.spotify.com/track/2SihT7AVMiI2VtaAyVIcnO
71,Gifted.,BE:FIRST,47853,https://open.spotify.com/track/65AmrrbvmkhGCYWk9xfXPW
72,"Film out",BTS,47798,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
73,"Easy On Me",Adele,47076,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
74,海のリビング,鈴木鈴木,46949,https://open.spotify.com/track/0CZB07xMxIGRfCZT93ynFj
75,題名のない今日,HIRAIDAI,46933,https://open.spotify.com/track/6skNbV22epX2yHu4O2hYSx
76,Buddy,HIRAIDAI,46839,https://open.spotify.com/track/7xfPyBgb9om8iUooItxHl8
77,"Kaikai Kitan",Eve,46410,https://open.spotify.com/track/6y4GYuZszeXNOXuBFsJlos
78,愛しき日々の真ん中で,HIRAIDAI,46109,https://open.spotify.com/track/5f0N60WTFye6mIxkIRPuBM
79,マリーゴールド,Aimyon,45684,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
80,Shivers,"Ed Sheeran",44423,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
81,"MIRROR MIRROR",HIRAIDAI,44000,https://open.spotify.com/track/0Sp31BXc9dedQnfKYCiojE
82,"HAPPY BIRTHDAY","back number",43704,https://open.spotify.com/track/4FMz2RFrbDGzJO7K4D0vS3
83,"猫 〜THE FIRST TAKE ver.〜",DISH//,43614,https://open.spotify.com/track/25BJRpLBe3i6d8okphoRAm
84,ワタリドリ,[Alexandros],43493,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
85,Oz.,yama,43470,https://open.spotify.com/track/2VRcLEvQCMByWBuvM9gaJ2
86,いつか,"Saucy Dog",43303,https://open.spotify.com/track/0v3iUTe5rskRsxbUhboRlT
87,Lemon,"Kenshi Yonezu",43266,https://open.spotify.com/track/04TshWXkhV1qkqHzf31Hn6
88,アポトーシス,"Official HIGE DANdism",43143,https://open.spotify.com/track/222BlW44cS9nOM6C369IB2
89,夏音,優里,42675,https://open.spotify.com/track/3k6o8UMc7aVgpKqm9epIrU
90,"Boy With Luv (feat. Halsey)",BTS,42089,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
91,"Shining One",BE:FIRST,41965,https://open.spotify.com/track/7DTKSwO1kTAJDu9Q5U73UZ
92,"Make you happy",NiziU,41923,https://open.spotify.com/track/1LnJVIG1BaHTRznuOgR0yc
93,"Pale Blue","Kenshi Yonezu",41796,https://open.spotify.com/track/52RfEh76AVKPwtUtTV9ufl
