,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Easy On Me",Adele,2862433,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2,"Oh My God",Adele,2315914,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
3,"Strangers By Nature",Adele,2101828,https://open.spotify.com/track/13CVSGLSFl4UxpDVR6u3dq
4,"My Little Love",Adele,2013296,https://open.spotify.com/track/2DuPBbS5mIldXnh7Wum8Cy
5,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",1894723,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
6,"Can I Get It",Adele,1871604,https://open.spotify.com/track/6w8ZPYdnGajyfPddTWdthN
7,"I Drink Wine",Adele,1774866,https://open.spotify.com/track/6v0UJD4a2FtleHeSYVX02A
8,"Cry Your Heart Out",Adele,1774175,https://open.spotify.com/track/09u787BYeYIGd2mFIJ505t
9,"To Be Loved",Adele,1523358,https://open.spotify.com/track/10ImcQk9tihY1EKMDIbvXJ
10,"All Night Parking (with Erroll Garner) Interlude",Adele,1432666,https://open.spotify.com/track/496vIKS2INz840xZaKncvR
11,"Woman Like Me",Adele,1422662,https://open.spotify.com/track/2c6xRsQBv7pynuhYhWoHxo
12,"Hold On",Adele,1368804,https://open.spotify.com/track/6bGMSP3H9YqkmaLnaJTIoF
13,"Love Is A Game",Adele,1174381,https://open.spotify.com/track/2j3GxEsbNYNeEzz86wDY4J
14,"Smokin Out The Window","Bruno Mars",1167561,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
15,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",1102435,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
16,"STAY (with Justin Bieber)","The Kid LAROI",992728,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
17,"Heat Waves","Glass Animals",900436,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
18,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,823323,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
19,"Already Dead","Juice WRLD",772423,https://open.spotify.com/track/7qM1BWAsZMTYh4BcYLb0uQ
20,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,716239,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
21,"Way 2 Sexy (with Future & Young Thug)",Drake,706638,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
22,"Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)","Taylor Swift",706153,https://open.spotify.com/track/01K4zKU104LyJ8gMb7227B
23,"I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)","Taylor Swift",695414,https://open.spotify.com/track/4CkgMiMqZ5JzW9iYXSTMTL
24,"Red (Taylor's Version)","Taylor Swift",689949,https://open.spotify.com/track/4OAuvHryIVv4kMDNSLuPt6
25,"Need to Know","Doja Cat",676430,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
26,"All Too Well (Taylor's Version)","Taylor Swift",673612,https://open.spotify.com/track/3nsfB1vus2qaloUdcBZvDu
27,"One Right Now (with The Weeknd)","Post Malone",671556,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
28,"family ties (with Kendrick Lamar)","Baby Keem",665690,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
29,Shivers,"Ed Sheeran",660482,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
30,"Bad Man (Smooth Criminal)","Polo G",639207,https://open.spotify.com/track/6RfhBNU1FPWTG7VESlfgOl
31,"Cold Heart - PNAU Remix","Elton John",619960,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
32,Enchanted,"Taylor Swift",618673,https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5
33,"good 4 u","Olivia Rodrigo",587793,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
34,"Meet Me At Our Spot","THE ANXIETY",579086,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
35,"Kiss Me More (feat. SZA)","Doja Cat",578026,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
36,Woman,"Doja Cat",538982,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
37,"State Of Grace (Taylor's Version)","Taylor Swift",506334,https://open.spotify.com/track/6lzc0Al0zfZOIFsFvBS1ki
38,"Bad Habits","Ed Sheeran",504600,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
39,"Dark Red","Steve Lacy",501083,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
40,"Leave The Door Open","Bruno Mars",499018,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
41,"The Very First Night (Taylor's Version) (From The Vault)","Taylor Swift",489179,https://open.spotify.com/track/6pYNq0ZwpPVazKzsqpf0G8
42,"I Knew You Were Trouble (Taylor's Version)","Taylor Swift",486404,https://open.spotify.com/track/6AtZLIzUINvExIUy4QhdjP
43,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,480190,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
44,Sky,"Playboi Carti",478007,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
45,"Happier Than Ever","Billie Eilish",476692,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
46,"All I Want for Christmas Is You","Mariah Carey",474455,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
47,"Message In A Bottle (Taylor's Version) (From The Vault)","Taylor Swift",463644,https://open.spotify.com/track/3z6XUommYDWPHeFhmhhT6j
48,"Praise God","Kanye West",461071,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
49,"THATS WHAT I WANT","Lil Nas X",460543,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
50,"Sweater Weather","The Neighbourhood",456556,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
51,"Jugaste y Sufrí","Eslabon Armado",454465,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
52,"MONTERO (Call Me By Your Name)","Lil Nas X",453327,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
53,2055,"Sleepy Hallow",446491,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
54,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Nardo Wick",446071,https://open.spotify.com/track/4yNoUQkYf1QF8iYlEzNynH
55,"ESCAPE PLAN","Travis Scott",442657,https://open.spotify.com/track/4R67rQNSbbsR4TdUVOIdez
56,"Fair Trade (with Travis Scott)",Drake,440106,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
57,"Better Man (Taylor's Version) (From The Vault)","Taylor Swift",435704,https://open.spotify.com/track/4OmFmE0fzcMG6g0Y8p4eSD
58,"Treacherous (Taylor's Version)","Taylor Swift",432091,https://open.spotify.com/track/3S7HNKPakdwNEBFIVTL6dZ
59,"Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)","Taylor Swift",428069,https://open.spotify.com/track/4IQkfUsrwXol38VV3U7t7T
60,"Life Of The Party (with André 3000)","Kanye West",427868,https://open.spotify.com/track/2yBb1CRq98SSWRuDSn36SZ
61,Pepas,Farruko,425797,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
62,traitor,"Olivia Rodrigo",425441,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
