,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Easy On Me",Adele,53562,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2,"Adiwele (feat. Kabza De Small & DJ Maphorisa)","Young Stunna",37028,https://open.spotify.com/track/2dTQe0W5KXs6TNVV7yi2oS
3,"My Little Love",Adele,36319,https://open.spotify.com/track/2DuPBbS5mIldXnh7Wum8Cy
4,Ngixolele,"Busta 929",36194,https://open.spotify.com/track/7jeXFt3u9o8PveE4CHSOs0
5,"Asibe Happy (feat. Ami Faku)","Kabza De Small",35128,https://open.spotify.com/track/6F70m9aMK4PSJKBfp1H8DZ
6,"Oh My God",Adele,34606,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
7,"Nkao Tempela",Ch'cco,33867,https://open.spotify.com/track/7JtWy2vvKVXLaymyTXUJ0K
8,"Strangers By Nature",Adele,33689,https://open.spotify.com/track/13CVSGLSFl4UxpDVR6u3dq
9,"I Drink Wine",Adele,31751,https://open.spotify.com/track/6v0UJD4a2FtleHeSYVX02A
10,Abalele,"Kabza De Small",31640,https://open.spotify.com/track/2qxgejJTaZIHNSHDD22Uhl
11,"Cry Your Heart Out",Adele,29583,https://open.spotify.com/track/09u787BYeYIGd2mFIJ505t
12,"To Be Loved",Adele,29114,https://open.spotify.com/track/10ImcQk9tihY1EKMDIbvXJ
13,"Can I Get It",Adele,26683,https://open.spotify.com/track/6w8ZPYdnGajyfPddTWdthN
14,"Hold On",Adele,25113,https://open.spotify.com/track/6bGMSP3H9YqkmaLnaJTIoF
15,66,"Felo Le Tee",24915,https://open.spotify.com/track/1b4kqxvf4kFuB7ACj9Lvve
16,"Woman Like Me",Adele,24230,https://open.spotify.com/track/2c6xRsQBv7pynuhYhWoHxo
17,"All Night Parking (with Erroll Garner) Interlude",Adele,23622,https://open.spotify.com/track/496vIKS2INz840xZaKncvR
18,"Love Is A Game",Adele,20795,https://open.spotify.com/track/2j3GxEsbNYNeEzz86wDY4J
19,"STAY (with Justin Bieber)","The Kid LAROI",18979,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
20,"Bad Habits","Ed Sheeran",18325,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
21,"Cold Heart - PNAU Remix","Elton John",17557,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
22,"Heat Waves","Glass Animals",15892,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
23,"Sithi Shwi (feat. Big Zulu, DJ Maphorisa & Kabza De Small)","Young Stunna",15654,https://open.spotify.com/track/4tYw8LJySmSEopvN1AknXv
24,Mmapula,"Busta 929",15471,https://open.spotify.com/track/22sG77yM0PrgIpbVKZ40yY
